datasetID,method,auxData,metric,result
BREAST,symsim,scaledVar,KDEstat,66.23924909
HOSTEOSARCOMA,symsim,scaledVar,KDEstat,187.3629792
HPROSTATE,symsim,scaledVar,KDEstat,180.5745211
MBRAIN,symsim,scaledVar,KDEstat,224.4038641
MCATUMOR,symsim,scaledVar,KDEstat,275.4478737
MCORTEX,symsim,scaledVar,KDEstat,229.402443
MGASTRULA,symsim,scaledVar,KDEstat,90.98783523
MOBNEW,symsim,scaledVar,KDEstat,31.31273284
MUSCLE,symsim,scaledVar,KDEstat,346.375902
PDAC,symsim,scaledVar,KDEstat,137.6116905
BREAST,zinbwave,scaledVar,KDEstat,12.18398668
HOSTEOSARCOMA,zinbwave,scaledVar,KDEstat,106.9160197
HPROSTATE,zinbwave,scaledVar,KDEstat,0.295274555
MBRAIN,zinbwave,scaledVar,KDEstat,178.7799505
MCATUMOR,zinbwave,scaledVar,KDEstat,10.80822956
MCORTEX,zinbwave,scaledVar,KDEstat,74.34507497
MGASTRULA,zinbwave,scaledVar,KDEstat,2.523398472
MOBNEW,zinbwave,scaledVar,KDEstat,-0.236537188
MUSCLE,zinbwave,scaledVar,KDEstat,32.01631517
PDAC,zinbwave,scaledVar,KDEstat,0.082512049
BREAST,scDesign3_gau(rf),scaledVar,KDEstat,-0.721293445
HOSTEOSARCOMA,scDesign3_gau(rf),scaledVar,KDEstat,0.868622369
HPROSTATE,scDesign3_gau(rf),scaledVar,KDEstat,-0.572440791
MBRAIN,scDesign3_gau(rf),scaledVar,KDEstat,-0.436444677
MCATUMOR,scDesign3_gau(rf),scaledVar,KDEstat,0.350958079
MCORTEX,scDesign3_gau(rf),scaledVar,KDEstat,-0.351429645
MGASTRULA,scDesign3_gau(rf),scaledVar,KDEstat,0.631168499
MOBNEW,scDesign3_gau(rf),scaledVar,KDEstat,-0.263422281
MUSCLE,scDesign3_gau(rf),scaledVar,KDEstat,5.756806612
PDAC,scDesign3_gau(rf),scaledVar,KDEstat,-0.49456511
BREAST,scDesign3_nb(rf),scaledVar,KDEstat,2.652977007
HOSTEOSARCOMA,scDesign3_nb(rf),scaledVar,KDEstat,41.5321603
HPROSTATE,scDesign3_nb(rf),scaledVar,KDEstat,-0.553479261
MBRAIN,scDesign3_nb(rf),scaledVar,KDEstat,29.37577309
MCATUMOR,scDesign3_nb(rf),scaledVar,KDEstat,-0.088993938
MCORTEX,scDesign3_nb(rf),scaledVar,KDEstat,34.25040558
MGASTRULA,scDesign3_nb(rf),scaledVar,KDEstat,1.122090415
MOBNEW,scDesign3_nb(rf),scaledVar,KDEstat,-0.113715267
MUSCLE,scDesign3_nb(rf),scaledVar,KDEstat,19.13410933
PDAC,scDesign3_nb(rf),scaledVar,KDEstat,5.343507732
BREAST,scDesign3_poi(rf),scaledVar,KDEstat,1.784111167
HOSTEOSARCOMA,scDesign3_poi(rf),scaledVar,KDEstat,0.356389962
HPROSTATE,scDesign3_poi(rf),scaledVar,KDEstat,-0.560164253
MBRAIN,scDesign3_poi(rf),scaledVar,KDEstat,-1.114100211
MCATUMOR,scDesign3_poi(rf),scaledVar,KDEstat,2.499588038
MCORTEX,scDesign3_poi(rf),scaledVar,KDEstat,1.320475746
MGASTRULA,scDesign3_poi(rf),scaledVar,KDEstat,-0.039509255
MOBNEW,scDesign3_poi(rf),scaledVar,KDEstat,-0.120344854
MUSCLE,scDesign3_poi(rf),scaledVar,KDEstat,21.90148798
PDAC,scDesign3_poi(rf),scaledVar,KDEstat,-0.490077187
BREAST,SRTsim(rf),scaledVar,KDEstat,17.97828548
HOSTEOSARCOMA,SRTsim(rf),scaledVar,KDEstat,37.70370138
HPROSTATE,SRTsim(rf),scaledVar,KDEstat,0.441947535
MBRAIN,SRTsim(rf),scaledVar,KDEstat,95.69460937
MCATUMOR,SRTsim(rf),scaledVar,KDEstat,0.622562002
MCORTEX,SRTsim(rf),scaledVar,KDEstat,35.14843732
MGASTRULA,SRTsim(rf),scaledVar,KDEstat,0.035519926
MOBNEW,SRTsim(rf),scaledVar,KDEstat,-0.153424446
MUSCLE,SRTsim(rf),scaledVar,KDEstat,24.06097728
PDAC,SRTsim(rf),scaledVar,KDEstat,6.455654923
BREAST,scDesign2,scaledMean,KDEstat,-0.184575931
HOSTEOSARCOMA,scDesign2,scaledMean,KDEstat,-0.122562219
HPROSTATE,scDesign2,scaledMean,KDEstat,0.827562252
MBRAIN,scDesign2,scaledMean,KDEstat,0.702296631
MCATUMOR,scDesign2,scaledMean,KDEstat,-0.168694488
MCORTEX,scDesign2,scaledMean,KDEstat,-0.144884456
MGASTRULA,scDesign2,scaledMean,KDEstat,-0.264555074
MOBNEW,scDesign2,scaledMean,KDEstat,-0.366949435
MUSCLE,scDesign2,scaledMean,KDEstat,0.23479579
PDAC,scDesign2,scaledMean,KDEstat,0.594466854
BREAST,scDesign3_gau,scaledMean,KDEstat,1.779138153
HOSTEOSARCOMA,scDesign3_gau,scaledMean,KDEstat,-0.119122404
HPROSTATE,scDesign3_gau,scaledMean,KDEstat,2.33080615
MBRAIN,scDesign3_gau,scaledMean,KDEstat,71.8933126
MCATUMOR,scDesign3_gau,scaledMean,KDEstat,-0.126726838
MCORTEX,scDesign3_gau,scaledMean,KDEstat,-0.132869212
MGASTRULA,scDesign3_gau,scaledMean,KDEstat,0.947081086
MOBNEW,scDesign3_gau,scaledMean,KDEstat,-0.358445747
MUSCLE,scDesign3_gau,scaledMean,KDEstat,11.09220164
PDAC,scDesign3_gau,scaledMean,KDEstat,0.384050008
BREAST,scDesign3_nb,scaledMean,KDEstat,-0.076579668
HOSTEOSARCOMA,scDesign3_nb,scaledMean,KDEstat,-0.222214288
HPROSTATE,scDesign3_nb,scaledMean,KDEstat,-0.228013077
MBRAIN,scDesign3_nb,scaledMean,KDEstat,0.137298481
MCATUMOR,scDesign3_nb,scaledMean,KDEstat,-0.206363693
MCORTEX,scDesign3_nb,scaledMean,KDEstat,-0.124219232
MGASTRULA,scDesign3_nb,scaledMean,KDEstat,-0.310742656
MOBNEW,scDesign3_nb,scaledMean,KDEstat,-0.370734925
MUSCLE,scDesign3_nb,scaledMean,KDEstat,-0.054081994
PDAC,scDesign3_nb,scaledMean,KDEstat,0.813131878
BREAST,scDesign3_poi,scaledMean,KDEstat,-0.228847867
HOSTEOSARCOMA,scDesign3_poi,scaledMean,KDEstat,-0.236736093
HPROSTATE,scDesign3_poi,scaledMean,KDEstat,-0.305341664
MBRAIN,scDesign3_poi,scaledMean,KDEstat,-0.275254383
MCATUMOR,scDesign3_poi,scaledMean,KDEstat,-0.208089512
MCORTEX,scDesign3_poi,scaledMean,KDEstat,-0.162494433
MGASTRULA,scDesign3_poi,scaledMean,KDEstat,-0.318682593
MOBNEW,scDesign3_poi,scaledMean,KDEstat,-0.376808322
MUSCLE,scDesign3_poi,scaledMean,KDEstat,-0.194178309
PDAC,scDesign3_poi,scaledMean,KDEstat,-0.245108637
BREAST,SPARsim,scaledMean,KDEstat,81.49756708
HOSTEOSARCOMA,SPARsim,scaledMean,KDEstat,-0.043151225
HPROSTATE,SPARsim,scaledMean,KDEstat,76.18937205
MBRAIN,SPARsim,scaledMean,KDEstat,27.01083323
MCATUMOR,SPARsim,scaledMean,KDEstat,-0.181597751
MCORTEX,SPARsim,scaledMean,KDEstat,0.874096198
MGASTRULA,SPARsim,scaledMean,KDEstat,3.047629576
MOBNEW,SPARsim,scaledMean,KDEstat,-0.363952336
MUSCLE,SPARsim,scaledMean,KDEstat,14.12539926
PDAC,SPARsim,scaledMean,KDEstat,0.637439263
BREAST,splatter,scaledMean,KDEstat,59.59356496
HOSTEOSARCOMA,splatter,scaledMean,KDEstat,11.3152605
HPROSTATE,splatter,scaledMean,KDEstat,62.21573466
MBRAIN,splatter,scaledMean,KDEstat,28.97192617
MCATUMOR,splatter,scaledMean,KDEstat,21.75236841
MCORTEX,splatter,scaledMean,KDEstat,7.817480985
MGASTRULA,splatter,scaledMean,KDEstat,5.539532341
MOBNEW,splatter,scaledMean,KDEstat,1.569080431
MUSCLE,splatter,scaledMean,KDEstat,30.92578351
PDAC,splatter,scaledMean,KDEstat,9.352072245
BREAST,SRTsim,scaledMean,KDEstat,0.005025813
HOSTEOSARCOMA,SRTsim,scaledMean,KDEstat,-0.115720113
HPROSTATE,SRTsim,scaledMean,KDEstat,0.012359822
MBRAIN,SRTsim,scaledMean,KDEstat,-0.226365869
MCATUMOR,SRTsim,scaledMean,KDEstat,-0.204054396
MCORTEX,SRTsim,scaledMean,KDEstat,-0.100289037
MGASTRULA,SRTsim,scaledMean,KDEstat,-0.308936804
MOBNEW,SRTsim,scaledMean,KDEstat,-0.367674188
MUSCLE,SRTsim,scaledMean,KDEstat,-0.122525033
PDAC,SRTsim,scaledMean,KDEstat,0.819288392
BREAST,symsim,scaledMean,KDEstat,58.64163842
HOSTEOSARCOMA,symsim,scaledMean,KDEstat,126.0773482
HPROSTATE,symsim,scaledMean,KDEstat,51.77167096
MBRAIN,symsim,scaledMean,KDEstat,65.67347081
MCATUMOR,symsim,scaledMean,KDEstat,52.71866162
MCORTEX,symsim,scaledMean,KDEstat,39.80495186
MGASTRULA,symsim,scaledMean,KDEstat,23.86777534
MOBNEW,symsim,scaledMean,KDEstat,1.584685918
MUSCLE,symsim,scaledMean,KDEstat,129.7384887
PDAC,symsim,scaledMean,KDEstat,18.65428168
BREAST,zinbwave,scaledMean,KDEstat,-0.224609044
HOSTEOSARCOMA,zinbwave,scaledMean,KDEstat,0.382195926
HPROSTATE,zinbwave,scaledMean,KDEstat,-0.299113805
MBRAIN,zinbwave,scaledMean,KDEstat,0.781531483
MCATUMOR,zinbwave,scaledMean,KDEstat,-0.208085665
MCORTEX,zinbwave,scaledMean,KDEstat,-0.119420677
MGASTRULA,zinbwave,scaledMean,KDEstat,-0.313936195
MOBNEW,zinbwave,scaledMean,KDEstat,-0.368483288
MUSCLE,zinbwave,scaledMean,KDEstat,-0.232131645
PDAC,zinbwave,scaledMean,KDEstat,-0.069962545
BREAST,scDesign3_gau(rf),scaledMean,KDEstat,1.779138153
HOSTEOSARCOMA,scDesign3_gau(rf),scaledMean,KDEstat,-0.119122404
HPROSTATE,scDesign3_gau(rf),scaledMean,KDEstat,2.33080615
MBRAIN,scDesign3_gau(rf),scaledMean,KDEstat,71.8933126
MCATUMOR,scDesign3_gau(rf),scaledMean,KDEstat,-0.126726838
MCORTEX,scDesign3_gau(rf),scaledMean,KDEstat,-0.132869212
MGASTRULA,scDesign3_gau(rf),scaledMean,KDEstat,0.947081086
MOBNEW,scDesign3_gau(rf),scaledMean,KDEstat,-0.358445747
MUSCLE,scDesign3_gau(rf),scaledMean,KDEstat,11.09220164
PDAC,scDesign3_gau(rf),scaledMean,KDEstat,0.384050008
BREAST,scDesign3_nb(rf),scaledMean,KDEstat,-0.076579668
HOSTEOSARCOMA,scDesign3_nb(rf),scaledMean,KDEstat,-0.222214288
HPROSTATE,scDesign3_nb(rf),scaledMean,KDEstat,-0.228013077
MBRAIN,scDesign3_nb(rf),scaledMean,KDEstat,0.124929217
MCATUMOR,scDesign3_nb(rf),scaledMean,KDEstat,-0.206363693
MCORTEX,scDesign3_nb(rf),scaledMean,KDEstat,-0.124219232
MGASTRULA,scDesign3_nb(rf),scaledMean,KDEstat,-0.311208744
MOBNEW,scDesign3_nb(rf),scaledMean,KDEstat,-0.370734925
MUSCLE,scDesign3_nb(rf),scaledMean,KDEstat,-0.054081994
PDAC,scDesign3_nb(rf),scaledMean,KDEstat,0.813131878
BREAST,scDesign3_poi(rf),scaledMean,KDEstat,-0.228847867
HOSTEOSARCOMA,scDesign3_poi(rf),scaledMean,KDEstat,-0.236736093
HPROSTATE,scDesign3_poi(rf),scaledMean,KDEstat,-0.305341664
MBRAIN,scDesign3_poi(rf),scaledMean,KDEstat,-0.275254383
MCATUMOR,scDesign3_poi(rf),scaledMean,KDEstat,-0.208089512
MCORTEX,scDesign3_poi(rf),scaledMean,KDEstat,-0.162494433
MGASTRULA,scDesign3_poi(rf),scaledMean,KDEstat,-0.318682593
MOBNEW,scDesign3_poi(rf),scaledMean,KDEstat,-0.376808322
MUSCLE,scDesign3_poi(rf),scaledMean,KDEstat,-0.194178309
PDAC,scDesign3_poi(rf),scaledMean,KDEstat,-0.245108637
BREAST,SRTsim(rf),scaledMean,KDEstat,-0.140637395
HOSTEOSARCOMA,SRTsim(rf),scaledMean,KDEstat,-0.149123084
HPROSTATE,SRTsim(rf),scaledMean,KDEstat,-0.079224969
MBRAIN,SRTsim(rf),scaledMean,KDEstat,-0.232230299
MCATUMOR,SRTsim(rf),scaledMean,KDEstat,-0.204684579
MCORTEX,SRTsim(rf),scaledMean,KDEstat,-0.128764028
MGASTRULA,SRTsim(rf),scaledMean,KDEstat,-0.310346485
MOBNEW,SRTsim(rf),scaledMean,KDEstat,-0.368416746
MUSCLE,SRTsim(rf),scaledMean,KDEstat,-0.069808404
PDAC,SRTsim(rf),scaledMean,KDEstat,0.246892069
BREAST,scDesign2,pearson,KDEstat,0.49299647
HOSTEOSARCOMA,scDesign2,pearson,KDEstat,-0.046022775
HPROSTATE,scDesign2,pearson,KDEstat,5.518192645
MBRAIN,scDesign2,pearson,KDEstat,0.547389447
MCATUMOR,scDesign2,pearson,KDEstat,0.679601354
MCORTEX,scDesign2,pearson,KDEstat,6.742378946
MGASTRULA,scDesign2,pearson,KDEstat,8.629346988
MOBNEW,scDesign2,pearson,KDEstat,0.197544357
MUSCLE,scDesign2,pearson,KDEstat,1.20837451
PDAC,scDesign2,pearson,KDEstat,6.497681278
BREAST,scDesign3_gau,pearson,KDEstat,5.448079694
HOSTEOSARCOMA,scDesign3_gau,pearson,KDEstat,-0.30520114
HPROSTATE,scDesign3_gau,pearson,KDEstat,8.098317919
MBRAIN,scDesign3_gau,pearson,KDEstat,0.380677118
MCATUMOR,scDesign3_gau,pearson,KDEstat,-0.217249405
MCORTEX,scDesign3_gau,pearson,KDEstat,0.359058003
MGASTRULA,scDesign3_gau,pearson,KDEstat,0.089988357
MOBNEW,scDesign3_gau,pearson,KDEstat,0.513748013
MUSCLE,scDesign3_gau,pearson,KDEstat,4.470333546
PDAC,scDesign3_gau,pearson,KDEstat,2.478567557
BREAST,scDesign3_nb,pearson,KDEstat,0.05868432
HOSTEOSARCOMA,scDesign3_nb,pearson,KDEstat,0.646605573
HPROSTATE,scDesign3_nb,pearson,KDEstat,4.776051704
MBRAIN,scDesign3_nb,pearson,KDEstat,3.231277997
MCATUMOR,scDesign3_nb,pearson,KDEstat,-0.041703899
MCORTEX,scDesign3_nb,pearson,KDEstat,10.9605896
MGASTRULA,scDesign3_nb,pearson,KDEstat,6.366621055
MOBNEW,scDesign3_nb,pearson,KDEstat,2.293540743
MUSCLE,scDesign3_nb,pearson,KDEstat,0.948842081
PDAC,scDesign3_nb,pearson,KDEstat,7.201203197
BREAST,scDesign3_poi,pearson,KDEstat,0.07234091
HOSTEOSARCOMA,scDesign3_poi,pearson,KDEstat,0.672837434
HPROSTATE,scDesign3_poi,pearson,KDEstat,2.705413663
MBRAIN,scDesign3_poi,pearson,KDEstat,1.195845348
MCATUMOR,scDesign3_poi,pearson,KDEstat,-0.229628982
MCORTEX,scDesign3_poi,pearson,KDEstat,4.120559559
MGASTRULA,scDesign3_poi,pearson,KDEstat,4.18307365
MOBNEW,scDesign3_poi,pearson,KDEstat,2.021233882
MUSCLE,scDesign3_poi,pearson,KDEstat,0.705878441
PDAC,scDesign3_poi,pearson,KDEstat,1.188583413
BREAST,SPARsim,pearson,KDEstat,0.299384729
HOSTEOSARCOMA,SPARsim,pearson,KDEstat,1.628256569
HPROSTATE,SPARsim,pearson,KDEstat,7.006057934
MBRAIN,SPARsim,pearson,KDEstat,0.817059281
MCATUMOR,SPARsim,pearson,KDEstat,0.433547816
MCORTEX,SPARsim,pearson,KDEstat,1.805247744
MGASTRULA,SPARsim,pearson,KDEstat,6.394663357
MOBNEW,SPARsim,pearson,KDEstat,-0.120806681
MUSCLE,SPARsim,pearson,KDEstat,0.158700965
PDAC,SPARsim,pearson,KDEstat,4.205476284
BREAST,splatter,pearson,KDEstat,20.67396734
HOSTEOSARCOMA,splatter,pearson,KDEstat,16.65631347
HPROSTATE,splatter,pearson,KDEstat,2.350328066
MBRAIN,splatter,pearson,KDEstat,6.003168371
MCATUMOR,splatter,pearson,KDEstat,18.38388415
MCORTEX,splatter,pearson,KDEstat,1.086429508
MGASTRULA,splatter,pearson,KDEstat,2.443460167
MOBNEW,splatter,pearson,KDEstat,8.715152254
MUSCLE,splatter,pearson,KDEstat,7.972893204
PDAC,splatter,pearson,KDEstat,3.57021289
BREAST,SRTsim,pearson,KDEstat,-0.120088226
HOSTEOSARCOMA,SRTsim,pearson,KDEstat,-0.173688555
HPROSTATE,SRTsim,pearson,KDEstat,0.349928654
MBRAIN,SRTsim,pearson,KDEstat,-0.053248648
MCATUMOR,SRTsim,pearson,KDEstat,-0.719422982
MCORTEX,SRTsim,pearson,KDEstat,0.103222838
MGASTRULA,SRTsim,pearson,KDEstat,-0.224404612
MOBNEW,SRTsim,pearson,KDEstat,-0.234434961
MUSCLE,SRTsim,pearson,KDEstat,-0.076963259
PDAC,SRTsim,pearson,KDEstat,1.22602391
BREAST,symsim,pearson,KDEstat,14.24988765
HOSTEOSARCOMA,symsim,pearson,KDEstat,2.518254401
HPROSTATE,symsim,pearson,KDEstat,3.830788949
MBRAIN,symsim,pearson,KDEstat,10.88881138
MCATUMOR,symsim,pearson,KDEstat,8.334807524
MCORTEX,symsim,pearson,KDEstat,10.44274253
MGASTRULA,symsim,pearson,KDEstat,0.826571332
MOBNEW,symsim,pearson,KDEstat,9.180474869
MUSCLE,symsim,pearson,KDEstat,8.543317955
PDAC,symsim,pearson,KDEstat,6.724477504
BREAST,zinbwave,pearson,KDEstat,0.470194891
HOSTEOSARCOMA,zinbwave,pearson,KDEstat,9.331108512
HPROSTATE,zinbwave,pearson,KDEstat,0.737631266
MBRAIN,zinbwave,pearson,KDEstat,10.03701388
MCATUMOR,zinbwave,pearson,KDEstat,0.929100502
MCORTEX,zinbwave,pearson,KDEstat,16.72887691
MGASTRULA,zinbwave,pearson,KDEstat,7.476404647
MOBNEW,zinbwave,pearson,KDEstat,2.688292535
MUSCLE,zinbwave,pearson,KDEstat,2.904518821
PDAC,zinbwave,pearson,KDEstat,2.44807188
BREAST,scDesign3_gau(rf),pearson,KDEstat,7.109864248
HOSTEOSARCOMA,scDesign3_gau(rf),pearson,KDEstat,0.072877027
HPROSTATE,scDesign3_gau(rf),pearson,KDEstat,12.7988624
MBRAIN,scDesign3_gau(rf),pearson,KDEstat,0.09777338
MCATUMOR,scDesign3_gau(rf),pearson,KDEstat,-0.291232052
MCORTEX,scDesign3_gau(rf),pearson,KDEstat,0.835271417
MGASTRULA,scDesign3_gau(rf),pearson,KDEstat,0.051699958
MOBNEW,scDesign3_gau(rf),pearson,KDEstat,0.277423422
MUSCLE,scDesign3_gau(rf),pearson,KDEstat,4.854185009
PDAC,scDesign3_gau(rf),pearson,KDEstat,2.43831332
BREAST,scDesign3_nb(rf),pearson,KDEstat,0.293542193
HOSTEOSARCOMA,scDesign3_nb(rf),pearson,KDEstat,0.463843414
HPROSTATE,scDesign3_nb(rf),pearson,KDEstat,4.916680541
MBRAIN,scDesign3_nb(rf),pearson,KDEstat,3.043536839
MCATUMOR,scDesign3_nb(rf),pearson,KDEstat,-0.088617015
MCORTEX,scDesign3_nb(rf),pearson,KDEstat,11.99965032
MGASTRULA,scDesign3_nb(rf),pearson,KDEstat,7.0966557
MOBNEW,scDesign3_nb(rf),pearson,KDEstat,2.709465568
MUSCLE,scDesign3_nb(rf),pearson,KDEstat,0.982420371
PDAC,scDesign3_nb(rf),pearson,KDEstat,8.116230959
BREAST,scDesign3_poi(rf),pearson,KDEstat,0.028429605
HOSTEOSARCOMA,scDesign3_poi(rf),pearson,KDEstat,1.026616301
HPROSTATE,scDesign3_poi(rf),pearson,KDEstat,2.888982491
MBRAIN,scDesign3_poi(rf),pearson,KDEstat,1.524799615
MCATUMOR,scDesign3_poi(rf),pearson,KDEstat,-0.207118138
MCORTEX,scDesign3_poi(rf),pearson,KDEstat,5.716503586
MGASTRULA,scDesign3_poi(rf),pearson,KDEstat,3.497881339
MOBNEW,scDesign3_poi(rf),pearson,KDEstat,1.645901113
MUSCLE,scDesign3_poi(rf),pearson,KDEstat,1.171340816
PDAC,scDesign3_poi(rf),pearson,KDEstat,1.524111901
BREAST,SRTsim(rf),pearson,KDEstat,-0.165262806
HOSTEOSARCOMA,SRTsim(rf),pearson,KDEstat,-0.009567501
HPROSTATE,SRTsim(rf),pearson,KDEstat,0.391767656
MBRAIN,SRTsim(rf),pearson,KDEstat,-0.029125659
MCATUMOR,SRTsim(rf),pearson,KDEstat,-0.560223979
MCORTEX,SRTsim(rf),pearson,KDEstat,-0.521348926
MGASTRULA,SRTsim(rf),pearson,KDEstat,-0.209908616
MOBNEW,SRTsim(rf),pearson,KDEstat,-0.378390252
MUSCLE,SRTsim(rf),pearson,KDEstat,0.035493178
PDAC,SRTsim(rf),pearson,KDEstat,-0.014262458
BREAST,scDesign2,MeanVar,KDEstat,-1.175000274
HOSTEOSARCOMA,scDesign2,MeanVar,KDEstat,-0.724330606
HPROSTATE,scDesign2,MeanVar,KDEstat,5.495425155
MBRAIN,scDesign2,MeanVar,KDEstat,-1.114374883
MCATUMOR,scDesign2,MeanVar,KDEstat,-1.438525624
MCORTEX,scDesign2,MeanVar,KDEstat,-0.070896079
MGASTRULA,scDesign2,MeanVar,KDEstat,-0.393795099
MOBNEW,scDesign2,MeanVar,KDEstat,-0.772530224
MUSCLE,scDesign2,MeanVar,KDEstat,13.64687327
PDAC,scDesign2,MeanVar,KDEstat,17.70669083
BREAST,scDesign3_gau,MeanVar,KDEstat,15.52154016
HOSTEOSARCOMA,scDesign3_gau,MeanVar,KDEstat,-0.476993162
HPROSTATE,scDesign3_gau,MeanVar,KDEstat,174.1349012
MBRAIN,scDesign3_gau,MeanVar,KDEstat,-17.82082858
MCATUMOR,scDesign3_gau,MeanVar,KDEstat,-0.807586532
MCORTEX,scDesign3_gau,MeanVar,KDEstat,107.0258929
MGASTRULA,scDesign3_gau,MeanVar,KDEstat,42.45618423
MOBNEW,scDesign3_gau,MeanVar,KDEstat,4.138241914
MUSCLE,scDesign3_gau,MeanVar,KDEstat,168.6918238
PDAC,scDesign3_gau,MeanVar,KDEstat,239.8247516
BREAST,scDesign3_nb,MeanVar,KDEstat,-1.292781641
HOSTEOSARCOMA,scDesign3_nb,MeanVar,KDEstat,-0.747467645
HPROSTATE,scDesign3_nb,MeanVar,KDEstat,1.044204526
MBRAIN,scDesign3_nb,MeanVar,KDEstat,-0.024469901
MCATUMOR,scDesign3_nb,MeanVar,KDEstat,-1.26276984
MCORTEX,scDesign3_nb,MeanVar,KDEstat,1.003965497
MGASTRULA,scDesign3_nb,MeanVar,KDEstat,-0.841426712
MOBNEW,scDesign3_nb,MeanVar,KDEstat,-0.582831123
MUSCLE,scDesign3_nb,MeanVar,KDEstat,-1.574867497
PDAC,scDesign3_nb,MeanVar,KDEstat,-4.533570311
